wavs/v (1).wav|来たか 戦闘準備ならいつでもできているぞ
wavs/v (3).wav|指揮官か?最近、自分が対戦戦もできるんじゃないかと思い始めたが。
wavs/v (4).wav|運も実力のうちできれば少し姉にも分けてあげたいものだな
wavs/v (6).wav|なんだ、出撃か?
wavs/v (7).wav|指揮官よ、ミッションがまだ終わっていないぞ。 早く出発するのだ!
wavs/v (8).wav|指揮官、ボーナスが届いたぞ
wavs/v (9).wav|指揮官、新しいメールだ
wavs/v (10).wav|戦いの次にまた戦い…か
wavs/v (11).wav|指揮官には勇気が足りていないようだ
wavs/v (12).wav|素直で誠実に生きるのが願いだ。だから、意見があれば遠慮なく言わせてもらう。そっちも考えがあったら、何でも遠慮なく言ってくれ。
wavs/v (13).wav|天の光はすべて星 海の光はすべて敵指揮官、争いのない日は果たして来るのだろうか?
wavs/v (14).wav|無敵そのものには意味がない指揮官あなたがいればこの身にある力を最大限に発揮できると信じている一緒にこの戦争を終わらせよう
wavs/v (15).wav|戦争が終わったら何がしたい?私?多分あなたについていくだろうな戦場以外ならあなたのそばが一番安心する私を連れて行ってもらえるか?
wavs/v (16).wav|無数の戦場を駆け、無数の別れを体験してきた私が背負ってるのは、数え切れないほどの希望と意志だ。指揮官も、全てを背負っていく覚悟ができているのか?そうか。なら、命の果てまで一緒に歩もう。
wavs/v (17).wav|ずっと戦場にいたから、平坦の大切さが分かるつもりだ。戦場にいたから、平坦の大切さが分かるつもりだ。
wavs/v (18).wav|力の果てに何があるのか見させてもらおう
wavs/v (19).wav|指揮官、教えてくれ。私はあと、何席沈めればいい。
wavs/v (20).wav|全力を尽くして負けたのだ。 悔いはないさ。
wavs/v (21).wav|面白い!
wavs/v (23).wav|真なる無双を見せてやる
wavs/v (25).wav|ユニオンの戦士たち、命を燃やせ!
wavs/v (26).wav|フフッ、この私と勝負か
wavs/v (27).wav|みんな窮地の中か。よし、行くぞ!
wavs/v (28).wav|さあ自分を証明してみせるがいい
wavs/v (29).wav|世話をやかせたな。共に進もう!
wavs/v (30).wav|これが、絆の力…
wavs/v (31).wav|この感覚……あなたがいれば、きっと赤木は……
wavs/v (33).wav|指揮官、メリークリスマス。今日の私はサンタクロースだ。だから、寝る前にちゃんと、靴下を暖炉のそばに飾っておいた方がいいぞ。
wavs/v (35).wav|メリークリスマス プレゼントはどんなものがいい?
wavs/v (36).wav|サンタクロースは実在するさん?今あなたの目の前に
wavs/v (37).wav|ホワイトクリスマス、キレイだ。待ってベスタル、急に引っ張らないでよ。え、私は別に寒くないけど。いや、本当に寒くないぞ。
wavs/v (38).wav|思いっきり笑えた方がいい そう今日の素晴らしい思い出は全て私たちの戦いを支えてくれるのだ
wavs/v (39).wav|どっどうだ 変じゃないかないや別に嫌いではないぞ むしろ私だってこれを着るのを憧れてたというかえっと
wavs/v (41).wav|今日の夕下は私に任せてくれないか ベスタルからもう教えることはないって言われたからなうっ 先頭しか脳がない私じゃないぞ
wavs/v (42).wav|いつか戦争が終わって 人々が心から笑い合える日がきっと来ると信じている指揮官 あなたがいてくれたおかげだ
wavs/v (43).wav|あっ…。この子も指揮官のことが気に入っているようだな。
wavs/v (44).wav|これが投稿の衣装…思ったより着心地がいいな。特製の偽装級もあるか…面白い。どこまで居抜けるか、試させてもらおう。
wavs/v (45).wav|灯籠の飾り方はこれで合ってるだろうか 指揮官よく来てくれたな投稿の信念は灯籠というランタンを飾ると聞いて試しに飾ってみたが どうだお祝い事の雰囲気が出ているか
wavs/v (46).wav|こうして平和に祝日を祝える雰囲気になってるのも 指揮官と母皇の仲間たちのおかげだ、
wavs/v (47).wav|飛行看板も投稿風の赤になっているか あちらでは幸せと喜びを象徴する色うん悪くない
wavs/v (48).wav|春節になると、年中というモンスターが現れると、登校の仲間たちから聞いた。そしてこの火薬の入った紙の筒は、そいつを退治するウェポンだそうだ。
wavs/v (49).wav|落とし玉を送る風習か。そうだな、ユニオンの小さい子たちにも落とし玉を用意してみるか。
wavs/v (50).wav|指揮官 このコートは2人まで入れそうだどうだ 中に入って機能性を確かめてみるか
wavs/v (51).wav|指揮官、次の戦いまで、少し休息しても構わないだろう。
wavs/v (52).wav|ハッピーアニバーサリー。 指揮官、今日は思いっきり祝おう。そして祈ろう。私たちの戦いが、これからも勝利し続けることを。
wavs/v (53).wav|来たか 出発の準備ならできているぞヘルメットを持っていくのを忘れないで
wavs/v (54).wav|指揮官、元気にしているか?あなたに、長き青春と繁栄の加護を……ふふふ。
wavs/v (55).wav|指揮官か?最近、自分がいつか空を飛べるようになるんじゃないかと思い始めたが、さすがに無理か…すまない、今のは聞かなかったことにしてくれ。
wavs/v (56).wav|旅行は…まあ、長くこの責務を務めている分、おのずと訪れる場所も多くなる。自分が旅しているか、任務で移動しているだけか、時々わからなくなるな。
wavs/v (57).wav|最近、SXも乗り物に興味を持ち始めたし、今度みんなでツーリングできるといいな。
wavs/v (58).wav|私の合い場も見てみるか?
wavs/v (59).wav|指揮官、艦隊司令部からの通信だ。
wavs/v (60).wav|出撃ご苦労。他の子が転検している間に少し休憩をとった方がいい。
wavs/v (61).wav|振り返らず、このまま進み続けるべきか。
wavs/v (63).wav|エンタープライズ エンゲージ!
wavs/v (64).wav|私は戦い続ける。この青き航路と、自由のために。
wavs/v (65).wav|時には勝てないというシナリオもある
wavs/v (66).wav|戦うために生まれたことに疑問はない 青木航路の自由のためエンタープライズ エンゲージ
wavs/v (67).wav|おはよう、指揮官。作戦会議にはまだ時間がある。 楽にしていられるうちは楽にしたほうがいい。
wavs/v (68).wav|正義のためなら力を振りかざし人を傷つけることも意図はない 私はそれが正しいとは思わない
wavs/v (69).wav|ロイヤルメイド隊には驚かされてばかりだな 戦闘以外の仕事もあんなにうまく兼ね合えているとは
wavs/v (70).wav|ベスタルどうした いや別に食生活はおろさかになっていないぞ指揮官がいろいろ いや私からも時々料理を作ってあげているぞ
wavs/v (71).wav|イーグルちゃん、指揮官に懐いているな。 仲良くすることはいいことだ。
wavs/v (72).wav|指揮官何か用か
wavs/v (73).wav|まさか、ヨークタウン姉さんにも こんなことをしてないだろうな
wavs/v (74).wav|ミッションがまだ終わっていないぞ 進捗を確認した方がいい
wavs/v (75).wav|指揮官ご苦労だ 次の作戦への準備に取り掛かろう
wavs/v (76).wav|委託から帰還した子たちを出迎えに行こうか 時々運動した方がいいホーネットに小言を言われる前にな
wavs/v (77).wav|エンタープライズ、前進!敵を打ち砕く!
wavs/v (78).wav|一手の先だけ、こちらの勝ちのようだな。
wavs/v (80).wav|パーティードレスか… こういう服に着替える機会はあまりないから、時間がかかってしまったなあっ、早く会場に向かおう。みんなを待たせるのは良くないぞ
wavs/v (81).wav|ユニオンのエンタープライズだ。こちらの行事にも散列させてもらおう。
wavs/v (83).wav|なるほど これはいい感じだなあとで作り方を勉強して ああアイスクリームだ指揮官も少し味見しないか?
wavs/v (84).wav|スクランブルには慣れている パーティーだろうとなんだろうとあなたが命じてくれればすぐにでも出撃するさ
wavs/v (85).wav|インディペンデンスのあの子のことか?ああ、イーグルちゃんと同じく、かわいらしい子だな戦いの疲れを癒してくれる、いい仲間だ
wavs/v (86).wav|指揮官無理は 私こそ無理をすべきではないか了解した
wavs/v (87).wav|委託組の子たちが戻ってきたか 挨拶周りはまた後にするか
wavs/v (88).wav|めでたい日に飾る勝利になるといいな
wavs/v (89).wav|指揮官も感染しに来たのか?フッ、本当は私もこうして立っているのではなく、一緒にマシンに乗って参戦してみたいものだ。あの、風をつかもうとする感覚は、レースも後悔も同じだと思わないか?
wavs/v (90).wav|今日も頑張っていこう。応援準備はできているぞ。
wavs/v (91).wav|あ、指揮官、ひとつ意見が欲しいのだが…ポーズはこれでどうだ?せめて指揮官の顔に泥を塗らないよう、努力したいものだ。
